,Struktur,bl1_0,Software,bl1_1,Daten,bl1_2,Code,bl1_3,Prozess,bl1_4,Anordnung,bl1_5,Unternehmung,bl1_6,Tun,bl1_7,Baustein,bl1_8,Methode,bl1_9,Ereignis,bl1_10,Arbeit,bl1_11,Vorstellung,bl1_12,Wesens,bl1_13,Sprachen,bl1_14,Gebäude,bl1_15,Rolle,bl1_16,Systeme,bl1_17,Dateien,bl1_18,Datenbanken,bl1_19,Systemen,bl1_20,Beschreibung,bl1_21
10,Data-Warehouse-System,,Single-Server,,Änderungsprotokoll,,Name,,Projekt,,Anwendungsseite,,Archivierung,,Aufwand,,Ende,,Form,,Beginning,,Datenmenge,,Begriff,,Variante,,Datenbanksprache,,Projektarchiv,,Nutzer,,,,,,,,,,,
11,Modell,,Systemsoftware,,Netzwerkinformation,,Spalte,,Forschung,,Antimuster,,NoSQL-Datenbank,,Programmieraufwand,,Fall,,Netzwerk,,Processing,,Listen­form,,Typbegriff,,Struktur,,Manipulationssprache,,Datenspeicher,,,,,,,,,,,,,
12,Abfragesprache,,Anbieterserver,,Primärschlüssel,,Benutzerfehler,,Beschreibung,,Quelltabelle,,Bibliothek,,Weblink,,Zeichenfolge,,System,,Fetching,,Element,,Ganzzahl,,,,,,,,,,,,,,,,,,,
13,Code,,Archivsoftware,,Fremdschlüssel,,ASCII-Code,,Logdateianalyse,,Datenbanktabelle,,Open-Source-Datenbank,,Regel,,Zeit,,Hilfe,,Warning,,,,,,,,,,,,,,,,,,,,,,,
14,Versionsverwaltungssystem,,Server,,Transaktionsprotokoll,,Code,,Echtzeitauswertung,,Hashtabelle,,Gruppe,,Nutzerverhalten,,Grundlage,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Downloads/Artikel,,Betriebssystem,,Fotodaten,,Entwickler,,Systementwicklung,,Seite,,Objektdatenbank,,Sinn,,Quelle,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Verhaltensmuster,,GurockSoftware,,Ereignisprotokoll,,Kundennummer,,Verantwortlich,,History-Tabelle,,Stapelverarbeitung,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Klasse,,Anwendungsprogramm,,Metadaten,,Datenbankmarkt,,Verwaltung,,Referenztabelle,,Unterscheidung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Objektklasse,,Hochschulschriftenserver,,Daten,,Repository,,Tabellenzeile,,Transaktionstabelle,,Aktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Computersystem,,OPUS-Server,,Nutzungsdaten,,Artikelname,,Entwicklung,,Mastertabelle,,EDA-Datenbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Objektdatenbanksystem,,Anwendungssoftware,,Dokument,,Fehler,,Zeile,,Lookup-Tabelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Muster,,Publikationsserver,,Datensatz,,Model,,Edlich,,Querverweistabelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Klassenhierarchie,,Grafiksoftware,,Protokoll,,Artikelnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Datenmodell,,Programm,,Adressdaten,,Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Daten,,Proxyserver,,Einzelnachweis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Objektdatenbankmodell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Auflösungsmuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Vererbungshierarchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Denormalisierungsmuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Berechnungsmodell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sicherheitsmuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
